building,style_1,style_2,style_3,explanation,evidence,file_1,file_2
Sagrada Família,Gothic architecture,Art Nouveau architecture,,"Designed by Antoni Gaudí, the exterior merges Gothic structural forms (pointed arches, vertical towers, flying buttresses) with Art Nouveau organic ornamentation and Catalan Modernisme naturalistic motifs.","Wikipedia: ""The design combines Gothic and curvilinear Art Nouveau forms."" UNESCO World Heritage inscription confirms the Gothic-Art Nouveau fusion.",Sagrada Família_1.jpg,Sagrada Família_2.jpg
Cathedral of Learning,Gothic architecture,Art Deco architecture,,"The 42-story tower (1926-37) exterior combines Collegiate Gothic detailing (pointed arches, tracery, gargoyles) with Art Deco skyscraper massing, setbacks, and streamlined vertical emphasis.","SAH Archipedia: ""Mixed with the Gothic is plenty of Art Deco streamlining."" Pittsburgh History & Landmarks Foundation confirms the Gothic-Deco hybrid.",Cathedral of Learning_1.jpg,Cathedral of Learning_2.jpg
Tribune Tower,Gothic architecture,Art Deco architecture,,"The 1925 tower exterior features a French Gothic Revival crown (modeled on Rouen Cathedral's Butter Tower with flying buttresses) atop an Art Deco-influenced vertical shaft with setbacks.","Chicago Architecture Center: Designed by Hood & Howells, combining ""Gothic Revival style"" with modern skyscraper form. Winner of 1922 competition for Gothic design on modern tower.",Tribune Tower_1.jpg,Tribune Tower_2.jpg
Sacré-Cœur Basilica,Romanesque architecture,Byzantine architecture,,"The exterior displays Romano-Byzantine style: Byzantine influence in the large travertine domes and Greek-cross plan; Romanesque in the rounded arches, thick walls, and fortress-like massing.","Wikipedia: ""The basilica was designed by Paul Abadie in the Romano-Byzantine style."" Features ""a large central dome and multiple smaller domes"" characteristic of Byzantine churches.",Sacré-Cœur Basilica_1.jpg,Sacré-Cœur Basilica_2.jpg
Basilica of St. Francis of Assisi,Romanesque architecture,Gothic architecture,,"The 13th-century exterior shows two distinct phases: the Lower Basilica (1228-30) in heavy Romanesque style with rounded arches; the Upper Basilica in Italian Gothic with pointed arches and rose window.","Wikipedia: ""The lower church is...in the Romanesque style...The upper church is in the Italian Gothic style."" UNESCO World Heritage site documentation confirms the dual-style construction.",Basilica of St. Francis of Assisi_1.jpg,Basilica of St. Francis of Assisi_2.jpg
Los Angeles Central Library,Ancient Egyptian architecture,Art Deco architecture,,"Bertram Goodhue's 1926 exterior combines Art Deco geometric massing with Egyptian Revival elements: stepped pyramid crown, pylon-like entrance portals, and pharaonic symbolic ornamentation.","LA Public Library archives: ""Pylon-like shapes resemble ancient Egyptian temples...together with the pyramid that crowns the tower."" LA Conservancy identifies it as ""Egyptian-flavored Art Deco.""",Los Angeles Central Library_1.jpg,Los Angeles Central Library_2.jpg
Chhatrapati Shivaji Terminus,Gothic architecture,Colonial architecture,,"The 1888 terminus exterior fuses British Victorian Gothic (pointed arches, turrets, stone tracery) with Indo-Saracenic elements (Mughal domes, Indian pavilions, decorative tilework).","UNESCO World Heritage: ""Outstanding example of late 19th-century railway architecture...Victorian Gothic Revival architecture blended with themes deriving from Indian traditional architecture.""",Chhatrapati Shivaji Terminus_1.jpg,Chhatrapati Shivaji Terminus_2.jpg
Strawberry Hill House,Georgian architecture,Gothic architecture,,"Horace Walpole's villa (1749-77) exterior pioneered Georgian Gothic: a Georgian-era symmetrical structure overlaid with medieval Gothic Revival details including battlements, tracery windows, and pinnacles.","Strawberry Hill House Trust: ""Britain's finest example of Georgian Gothic Revival architecture."" English Heritage confirms it as ""the first significant building of the Gothic Revival.""",Strawberry Hill House_1.jpg,Strawberry Hill House_2.jpg
550 Madison Ave,Postmodern architecture,Beaux-Arts architecture,,"Philip Johnson's 1984 tower exterior epitomizes Postmodernism with Neoclassical/Beaux-Arts references: pink granite base with giant columns, tripartite classical composition, and the iconic Chippendale broken pediment crown.","Wikipedia: ""The building is considered an iconic example of postmodern architecture."" AIA Guide to NYC notes the ""Chippendale top"" and classical granite base as deliberate historical references.",550 Madison Ave_1.jpg,550 Madison Ave_2.jpg
Neuschwanstein Castle,Romanesque architecture,Gothic architecture,,"The 1869-86 castle exterior blends Romanesque Revival (rounded arches, fortress massing, thick walls) with Gothic Revival elements (pointed towers, ornate windows, vertical emphasis).","Wikipedia: ""Romanesque Revival palace...built in a romanticised interpretation of the Middle Ages."" Bavarian Palace Administration describes the blend of Romanesque and Gothic forms.",Neuschwanstein Castle_1.jpg,Neuschwanstein Castle_2.jpg
St. Mark's Basilica,Byzantine architecture,Gothic architecture,Romanesque architecture,"The exterior displays three periods: core Byzantine structure (five domes, Greek-cross plan), Gothic additions (13th-14th c. pointed arches, spires, tracery), and Romanesque elements (rounded portal arches, sculptural reliefs).","Wikipedia: ""Italo-Byzantine architecture"" with later additions. UNESCO notes ""a unique blend of Eastern and Western influences."" Exterior shows visible layering of Byzantine domes with Gothic pinnacles.",St. Mark's Basilica_1.jpg,St. Mark's Basilica_2.jpg
Pena Palace,Gothic architecture,Baroque architecture,,"The 1854 palace exterior is a Romantic-era pastiche combining Neo-Gothic elements (crenellated towers, pointed arches, Manueline details) with Baroque theatrical ornamentation and vivid color.","Wikipedia: ""Eclectic styles include Neo-Gothic, Neo-Manueline, Neo-Islamic and Neo-Renaissance."" UNESCO: ""One of the major expressions of 19th-century Romanticism in the world.""",Pena Palace_1.jpg,Pena Palace_2.jpg
Azadi Tower,Achaemenid architecture,International style,,"The 1971 tower exterior synthesizes ancient Persian motifs (Achaemenid/Sassanid-inspired arches, Persepolis-style proportions) with International Style modernist geometry and white marble cladding.","Architect Hossein Amanat designed it to blend ""Achaemenid architecture inspired by Persepolis"" with ""Sassanid elliptical arches"" in modern form. Iranian Cultural Heritage documentation confirms the fusion.",Azadi Tower_1.jpg,Azadi Tower_2.jpg
Cathedral of St. John the Divine,Romanesque architecture,Gothic architecture,,"The cathedral exterior literally embodies two phases: Byzantine-Romanesque east end (1892-1909) with rounded arches and domes; Gothic Revival nave and west front (post-1909) with pointed arches and tracery.","NYC Landmarks Conservancy: ""Begun in 1892 in the Byzantine-Romanesque style...By 1909 the plan was updated to the more fashionable Gothic style."" The transition is architecturally visible.",Cathedral of St. John the Divine_1.jpg,Cathedral of St. John the Divine_2.jpg
Persepolis,Achaemenid architecture,Ancient Egyptian architecture,,"The 500 BCE ceremonial capital exterior shows Achaemenid imperial style fusing Persian, Egyptian (cavetto cornices, column forms), and Mesopotamian influences in its monumental staircases and columned halls.","Wikipedia: ""The Achaemenids developed a hybrid imperial style drawing on influences from Mesopotamia, Egypt and Lydia."" Archaeological evidence shows Egyptian artisans worked on the site.",Persepolis_1.jpg,Persepolis_2.jpg
St. Paul's Cathedral,Baroque architecture,Palladian architecture,,"Christopher Wren's exterior (1675-1711) combines English Baroque grandeur (dramatic dome, sculptural ornamentation) with Palladian classical restraint (symmetrical façade, columned portico, geometric proportions).","Wikipedia: ""English Baroque style."" Architectural historians note Wren's synthesis of Italian Baroque drama with Palladian classical order, visible in the dome and western facade composition.",St. Paul's Cathedral_1.jpg,St. Paul's Cathedral_2.jpg
Versailles,Baroque architecture,Palladian architecture,,"The palace exterior (expanded 1661-1715) shows French Baroque opulence (elaborate ornamentation, dramatic scale) ordered by Palladian classical principles (symmetry, columned facades, rational proportions).","Wikipedia: ""French Baroque or French Classicism."" Architectural analysis confirms Louis Le Vau and Jules Hardouin-Mansart's fusion of Baroque grandeur with classical Palladian symmetry.",Versailles_1.jpg,Versailles_2.jpg
Flatiron Building,Beaux-Arts architecture,Chicago school architecture,,"The 1902 exterior combines Chicago School structural innovation (steel frame enabling the triangular form, large windows) with Beaux-Arts decorative program (Renaissance-inspired terracotta ornamentation, classical composition).","Wikipedia: ""Beaux-Arts design by Daniel Burnham."" NYC Landmarks notes the Chicago School steel-frame structure clad in Beaux-Arts terra-cotta detailing.",Flatiron Building_1.jpg,Flatiron Building_2.jpg
Carson Pirie Scott Building,Chicago school architecture,Art Nouveau architecture,,"Louis Sullivan's 1899 exterior exemplifies Chicago School rationalism (steel frame, ""Chicago windows,"" horizontal emphasis) with Art Nouveau ornament (elaborate cast-iron botanical designs at the entrance).","Wikipedia: ""Chicago School commercial style...with ornament designed in the Art Nouveau style."" The cast-iron entrance ornamentation is widely cited as Sullivan's masterpiece of Art Nouveau metalwork.",Carson Pirie Scott Building_1.jpg,Carson Pirie Scott Building_2.jpg
Palau de la Música Catalana,Art Nouveau architecture,Gothic architecture,,"Domènech i Montaner's 1908 exterior fuses Catalan Modernisme/Art Nouveau (flowing forms, mosaic ornamentation, floral motifs) with Gothic structural elements (pointed arches, rose window, buttresses).","UNESCO World Heritage: ""Catalan Art Nouveau...exuberant Art Nouveau decoration."" Wikipedia notes Gothic structural references within the Modernisme decorative vocabulary.",Palau de la Música Catalana_1.jpg,Palau de la Música Catalana_2.jpg
Cathedral Basilica of St. Louis,Romanesque architecture,Byzantine architecture,,"The 1914 cathedral exterior displays Romano-Byzantine style: Romanesque heavy masonry and rounded arches combined with Byzantine dome composition, inspired by churches like Hagia Sophia and San Vitale.","Cathedral website: ""Byzantine architecture"" with ""Romanesque structural elements."" Architectural historians classify it as Romano-Byzantine, similar to Sacré-Cœur Paris.",Cathedral Basilica of St. Louis_1.jpg,Cathedral Basilica of St. Louis_2.jpg
General Electric Building,Gothic architecture,Art Deco architecture,,"Raymond Hood's 1931 tower exterior (570 Lexington Ave) fuses Gothic verticality and crown composition with Art Deco geometric abstraction, setbacks, and machine-age ornamental vocabulary.","AIA Guide to NYC identifies it as Gothic-influenced Art Deco. Architectural historians cite Hood's synthesis of ""Gothic vertical emphasis"" with ""Art Deco streamlining"" in the terracotta crown.",General Electric Building_1.jpg,General Electric Building_2.jpg
Los Angeles Union Station,Colonial architecture,Art Deco architecture,,"The 1939 station exterior blends Spanish Colonial Revival (arcaded courtyards, clay tile roofs, stucco walls, mission-style massing) with Art Deco geometric detailing and streamlined modernism.","Wikipedia: ""Combination of Spanish Colonial Revival, Mission Revival and streamline Moderne."" LA Conservancy: ""Last of the great American railway stations"" combining Colonial and Art Deco.",Los Angeles Union Station_1.jpg,Los Angeles Union Station_2.jpg
Boston Avenue Methodist Church,Gothic architecture,Art Deco architecture,,"The 1929 church exterior in Tulsa combines Gothic ecclesiastical typology (tower, pointed forms, vertical emphasis) with Art Deco geometric ornamentation, prairie-influenced sculpture, and modern materials.","National Historic Landmark nomination: ""Outstanding example of Art Deco ecclesiastical architecture."" Architectural historians cite it as one of the finest Gothic-Art Deco church designs in America.",Boston Avenue Methodist Church_1.jpg,Boston Avenue Methodist Church_2.jpg
Palais Garnier,Beaux-Arts architecture,Baroque architecture,,"Charles Garnier's 1875 opera house exterior epitomizes Beaux-Arts (symmetry, classical vocabulary, axial composition) infused with Baroque theatricality (dramatic sculptural groups, rich ornamentation, spatial dynamism).","Wikipedia: ""Beaux-Arts architecture"" and ""Napoleon III style."" Garnier explicitly incorporated Baroque spatial drama into the classical Beaux-Arts framework. French Ministry of Culture confirms classification.",Palais Garnier_1.jpg,Palais Garnier_2.jpg
